,Code,Description
0,10001,"Afognak Lake, AK: Afognak Lake Airport"
1,10003,"Granite Mountain, AK: Bear Creek Mining Strip"
2,10004,"Lik, AK: Lik Mining Camp"
3,10005,"Little Squaw, AK: Little Squaw Airport"
4,10006,"Kizhuyak, AK: Kizhuyak Bay"
5,10007,"Klawock, AK: Klawock Seaplane Base"
6,10008,"Elizabeth Island, AK: Elizabeth Island Airport"
7,10009,"Homer, AK: Augustin Island"
8,10010,"Hudson, NY: Columbia County"
9,10011,"Peach Springs, AZ: Grand Canyon West"
10,10012,"Blairstown, NJ: Blairstown Airport"
11,10013,"Crosbyton, TX: Crosbyton Municipal"
12,10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake"
13,10015,"Deadmans Bay, AK: Deadmans Bay Airport"
14,10016,"Hallo Bay, AK: Hallo Bay Airport"
15,10017,"Red Lake, AK: Red Lake Airport"
16,10018,"Shell Lake, AK: Shell Lake Airport"
17,10019,"Kougarok, AK: Navigator Airstrip"
18,10020,"Selawik, AK: Roland Norton Memorial"
19,10021,"Pillar Bay, AK: Pillar Bay Airport"
20,10022,"Johnstone Point, AK: Johnstone Point Airport"
21,10023,"Tikchik Lodge, AK: Tikchik Lodge Airport"
22,10024,"Bell Creek, AK: Bell Creek Airport"
23,10025,"Cinnabar, AK: Cinnabar Airport"
24,10026,"Mountaintop Mine, AK: Mountaintop Mine Airport"
25,10027,"Whitebear, AK: Whitebear Airport"
26,10028,"Puviaq, AK: Puviaq Airport"
27,10029,"Arley Lake, AK: Arley Lake Airport"
28,10030,"Port Vita, AK: Port Vita Airport"
29,10031,"Kantishna, AK: Kantishna Airport"
30,10033,"Alpine, AK: Alpine Airstrip"
31,10034,"Serpentine, AK: Serpentine Airport"
32,10035,"Driftwood Bay, AK: Driftwood Bay Airport"
33,10036,"Bradley Lake, AK: Bradley Lake Airport"
34,10037,"Chilkat Lake, AK: Chilkat Lake Airport"
35,10038,"Nugget Creek, AK: Nugget Creek Airport"
36,10039,"Ivotuk, AK: Ivotuk Airstrip"
37,10040,"Pogo Mines, AK: Pogo Mines Airport"
38,10041,"Ayakulik River, AK: Ayakulik River Airport"
39,10042,"Kiluda Bay, AK: Kiluda Bay Airport"
40,10043,"Terror Lake, AK: Terror Lake Airport"
41,10044,"Selief Bay, AK: Selief Bay Airport"
42,10047,"Laura Lake, AK: Laura Lake Airport"
43,10049,"Deep Bay, AK: Deep Bay Airport"
44,10050,"Kako, AK: Kako Airport"
45,10051,"Molly Creek, AK: Molly Creek Airport"
46,10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport"
47,10053,"Cape Simpson, AK: Cape Simpson Airport"
48,10054,"Kogru River, AK: Kogru River Airport"
49,10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport"
50,10056,"Kodiak Island, AK: Trident Basin Seaplane Base"
51,10058,"Lake Florence, AK: Lake Florence Airport"
52,10059,"Lake Hasselborg, AK: Lake Hasselborg Airport"
53,10060,"Distin Lake, AK: Distin Lake Airport"
54,10061,"Port Hobron, AK: Port Hobron Airport"
55,10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport"
56,10063,"Big Bay, AK: Big Bay Airport"
57,10064,"Wien Lake, AK: Wien Lake Airport"
58,10065,"Silver Salmon Creek, AK: Silver Salmon Creek Airport"
59,10066,"Blear Lake, AK: Blear Lake Airport"
60,10067,"Cannery Bay, AK: Cannery Bay Airport"
61,10069,"Bear Lake, AK: Johnsons Landing"
62,10070,"International Seafoods, AK: International Seafoods Airport"
63,10071,"Cosna River, AK: Cosna River Airport"
64,10072,"Ivatuk, AK: Ivatuk Airport"
65,10074,"Cape Sarichef, AK: Cape Sarichef Airport"
66,10075,"Taylor Mountain Mine, AK: Taylor Mountain"
67,10076,"Yukon Charley Rivvers, AK: Coal Creek"
68,10078,"Karluk Portage, AK: Karluk Portage Airport"
69,10079,"Hope, AK: Hope Airport"
70,10080,"Viekoda Bay, AK: Viekoda Bay Airport"
71,10082,"Cold Bay, AK: Cathedral Strip"
72,10083,"Village Islands, AK: Village Islands Airport"
73,10084,"Homer, AK: Bear Cove Farm"
74,10085,"Chinitna Bay, AK: Chinitna Bay Airport"
75,10086,"McKinley Park, AK: McKinley National Park"
76,10087,"Nanwalek, AK: Dog Fish Bay"
